REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Enterprise size,Advanced technology acquisition,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,Cl,c,STATUS,DEx
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Total enterprises,Customize,Percent,239,units,0,v80736911,1.5.1.4,34.5,E,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Total enterprises,Develop,Percent,239,units,0,v80736912,1.5.1.5,28.1,E,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Total enterprises,Merger or acquisition,Percent,239,units,0,v80736913,1.5.1.6,0.0,A,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Small enterprises (20 to 99 employees),Purchase,Percent,239,units,0,v80736914,1.5.2.1,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Small enterprises (20 to 99 employees),Lease,Percent,239,units,0,v80736915,1.5.2.2,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Small enterprises (20 to 99 employees),License,Percent,239,units,0,v80736916,1.5.2.3,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Small enterprises (20 to 99 employees),Customize,Percent,239,units,0,v80736917,1.5.2.4,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Small enterprises (20 to 99 employees),Develop,Percent,239,units,0,v80736918,1.5.2.5,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Small enterprises (20 to 99 employees),Merger or acquisition,Percent,239,units,0,v80736919,1.5.2.6,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Medium-sized enterprises (100 to 249 employees),Purchase,Percent,239,units,0,v80736920,1.5.3.1,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Medium-sized enterprises (100 to 249 employees),Lease,Percent,239,units,0,v80736921,1.5.3.2,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Medium-sized enterprises (100 to 249 employees),License,Percent,239,units,0,v80736922,1.5.3.3,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Medium-sized enterprises (100 to 249 employees),Customize,Percent,239,units,0,v80736923,1.5.3.4,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Medium-sized enterprises (100 to 249 employees),Develop,Percent,239,units,0,v80736924,1.5.3.5,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Medium-sized enterprises (100 to 249 employees),Merger or acquisition,Percent,239,units,0,v80736925,1.5.3.6,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Large enterprises (250 and more employees),Purchase,Percent,239,units,0,v80736926,1.5.4.1,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Large enterprises (250 and more employees),Lease,Percent,239,units,0,v80736927,1.5.4.2,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Large enterprises (250 and more employees),License,Percent,239,units,0,v80736928,1.5.4.3,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Large enterprises (250 and more employees),Customize,Percent,239,units,0,v80736929,1.5.4.4,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Large enterprises (250 and more employees),Develop,Percent,239,units,0,v80736930,1.5.4.5,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Large enterprises (250 and more employees),Merger or acquisition,Percent,239,units,0,v80736931,1.5.4.6,,x,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Total enterprises,Purchase,Percent,239,units,0,v80736932,1.6.1.1,76.8,E,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Total enterprises,Lease,Percent,239,units,0,v80736933,1.6.1.2,3.5,B,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Total enterprises,License,Percent,239,units,0,v80736934,1.6.1.3,35.4,E,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Total enterprises,Customize,Percent,239,units,0,v80736935,1.6.1.4,4.7,B,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Total enterprises,Develop,Percent,239,units,0,v80736936,1.6.1.5,23.2,E,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Total enterprises,Merger or acquisition,Percent,239,units,0,v80736937,1.6.1.6,0.0,A,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Small enterprises (20 to 99 employees),Purchase,Percent,239,units,0,v80736938,1.6.2.1,77.8,E,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Small enterprises (20 to 99 employees),Lease,Percent,239,units,0,v80736939,1.6.2.2,0.0,A,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Small enterprises (20 to 99 employees),License,Percent,239,units,0,v80736940,1.6.2.3,33.3,E,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Small enterprises (20 to 99 employees),Customize,Percent,239,units,0,v80736941,1.6.2.4,5.6,B,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Small enterprises (20 to 99 employees),Develop,Percent,239,units,0,v80736942,1.6.2.5,22.2,E,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Small enterprises (20 to 99 employees),Merger or acquisition,Percent,239,units,0,v80736943,1.6.2.6,0.0,A,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Medium-sized enterprises (100 to 249 employees),Purchase,Percent,239,units,0,v80736944,1.6.3.1,,x,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Medium-sized enterprises (100 to 249 employees),Lease,Percent,239,units,0,v80736945,1.6.3.2,,x,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Medium-sized enterprises (100 to 249 employees),License,Percent,239,units,0,v80736946,1.6.3.3,,x,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Medium-sized enterprises (100 to 249 employees),Customize,Percent,239,units,0,v80736947,1.6.3.4,,x,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Medium-sized enterprises (100 to 249 employees),Develop,Percent,239,units,0,v80736948,1.6.3.5,,x,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Medium-sized enterprises (100 to 249 employees),Merger or acquisition,Percent,239,units,0,v80736949,1.6.3.6,,x,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Large enterprises (250 and more employees),Purchase,Percent,239,units,0,v80736950,1.6.4.1,,x,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Large enterprises (250 and more employees),Lease,Percent,239,units,0,v80736951,1.6.4.2,,x,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Large enterprises (250 and more employees),License,Percent,239,units,0,v80736952,1.6.4.3,,x,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Large enterprises (250 and more employees),Customize,Percent,239,units,0,v80736953,1.6.4.4,,x,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Large enterprises (250 and more employees),Develop,Percent,239,units,0,v80736954,1.6.4.5,,x,1
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [213,Large enterprises (250 and more employees),Merger or acquisition,Percent,239,units,0,v80736955,1.6.4.6,,x,1
2009,Canada,2016A000011124,Utilities [22,Total enterprises,Purchase,Percent,239,units,0,v80736956,1.7.1.1,71.8,B,1
2009,Canada,2016A000011124,Utilities [22,Total enterprises,Lease,Percent,239,units,0,v80736957,1.7.1.2,15.9,B,1
2009,Canada,2016A000011124,Utilities [22,Total enterprises,License,Percent,239,units,0,v80736958,1.7.1.3,25.8,B,1
2009,Canada,2016A000011124,Utilities [22,Total enterprises,Customize,Percent,239,units,0,v80736959,1.7.1.4,38.6,B,1
2009,Canada,2016A000011124,Utilities [22,Total enterprises,Develop,Percent,239,units,0,v80736960,1.7.1.5,28.9,B,1
2009,Canada,2016A000011124,Utilities [22,Total enterprises,Merger or acquisition,Percent,239,units,0,v80736961,1.7.1.6,2.6,A,1
2009,Canada,2016A000011124,Utilities [22,Small enterprises (20 to 99 employees),Purchase,Percent,239,units,0,v80736962,1.7.2.1,75.1,B,1
2009,Canada,2016A000011124,Utilities [22,Small enterprises (20 to 99 employees),Lease,Percent,239,units,0,v80736963,1.7.2.2,9.0,B,1
2009,Canada,2016A000011124,Utilities [22,Small enterprises (20 to 99 employees),License,Percent,239,units,0,v80736964,1.7.2.3,17.2,B,1
2009,Canada,2016A000011124,Utilities [22,Small enterprises (20 to 99 employees),Customize,Percent,239,units,0,v80736965,1.7.2.4,38.8,B,1
2009,Canada,2016A000011124,Utilities [22,Small enterprises (20 to 99 employees),Develop,Percent,239,units,0,v80736966,1.7.2.5,18.4,B,1
2009,Canada,2016A000011124,Utilities [22,Small enterprises (20 to 99 employees),Merger or acquisition,Percent,239,units,0,v80736967,1.7.2.6,3.8,A,1
2009,Canada,2016A000011124,Utilities [22,Medium-sized enterprises (100 to 249 employees),Purchase,Percent,239,units,0,v80736968,1.7.3.1,63.9,E,1
2009,Canada,2016A000011124,Utilities [22,Medium-sized enterprises (100 to 249 employees),Lease,Percent,239,units,0,v80736969,1.7.3.2,17.8,E,1
2009,Canada,2016A000011124,Utilities [22,Medium-sized enterprises (100 to 249 employees),License,Percent,239,units,0,v80736970,1.7.3.3,47.8,E,1
2009,Canada,2016A000011124,Utilities [22,Medium-sized enterprises (100 to 249 employees),Customize,Percent,239,units,0,v80736971,1.7.3.4,36.1,E,1
