received_date,Auth_Description,Op_Name,Short Notice Short Notice,Description,Variation Number Variation Number,Service_Type_Other_Details
26/11/21,Angus Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,5,Revised timetable to increase number of journeys serving Craigo
23/12/10,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,13,Revised timetable: The 0900 ex Glenrothes jny retimed; 1838 ex Glenrothes retimed.
20/02/17,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,No,Standard National,4,Mon to Sat
05/07/19,Stirling Council,MIDLAND BLUEBIRD LTD,No,Standard National,12,Serves Dollar Academy Schooldays only.
03/04/18,Perth & Kinross Council,SCOTTISH CITYLINK COACHES LTD,Yes,Standard National,23,Monday to Saturday
20/12/13,Glasgow City Council,WESTERN BUSES LIMITED,Yes,Standard International,2,Cathedral Street Bridge roadworks extended for approximately two months. Route will return to normal once roadworks end.
25/05/07,Clackmannan Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,3,Revised route for Temporary Road closure.
29/07/21,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,6,Infrequent Service
19/03/20,Perth & Kinross Council,SCOTTISH CITYLINK COACHES LTD,Yes,Standard National,10,Temporary variation to service (COVID- 19 response)
20/10/15,Angus Council,J P MINICOACHES LTD,No,Standard National,2,School Days only
16/04/12,The City of Edinburgh Council,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,16,"No service: 25/26 Dec & 1/2 Jan, Good Friday, East Mon, May Day.
Saturday service:

revised holiday schedule(for days which are not already registered)over xmas 2011 and new year 2012 and future year"
18/04/16,Dumfries & Galloway Council,WESTERN BUSES LIMITED,Yes,Standard International,17,Timetable revision with agreement of Dumfries and Galloway council.
03/02/22,Fife Council,FISHERS TOURS LIMITED,No,Standard International,3,Operates Wednesday Fortnightly
03/10/16,Midlothian Council,PRENTICE COACHES LTD,Yes,Standard International,2,Mon to Sat
09/10/08,Strathclyde Partnership for Transport,AVONDALE COACHES LTD,No,Standard National,0,Monday to Friday
27/03/20,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,5,"Suspension due to Covid 19

(Service prior was: One return journey Tuesdays Only)"
25/10/11,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,21,Monday to Saturday Every 20min Sunday every Hour. Christmas schedule attached.
10/07/09,Strathclyde Partnership for Transport,LOCH LOMOND BUS SERVICES LTD,Yes,Standard National,0,Monday to Sunday
07/05/21,Renfrewshire Council,WESTERN BUSES LIMITED,Yes,Standard International,10,Increase of service level
12/12/13,West Lothian Council,E & M HORSBURGH LTD,Yes,Standard National,2,School Days only
10/03/17,Midlothian Council,LOTHIAN BUSES LIMITED,No,Standard International,6,Monday to Saturday
17/06/11,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,6,Revised route and timetable: service extended to Duloch Park.
30/01/15,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,23,"Sun service 1/2 Jan.& 26 Dec No service 25 Dec Sat service 3/4 Jan,Good Fri,Easter Mon,Edinburgh local hols & between 27 & 31 Dec."
27/11/17,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,6,Monday to Saturday infrequent.
17/12/09,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,5,Mon - Sat 1603 ex Kilmarnock & 1613 ex Seright Square removed
07/07/17,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,7,Daily
25/06/07,Highland Council,BLUEBIRD BUSES LIMITED,No,Standard International,19,Revised timetable
24/06/05,Falkirk District Council,MIDLAND BLUEBIRD LTD,No,Standard National,3,
21/02/20,Moray Council,BLUEBIRD BUSES LIMITED,No,Standard International,3,"Mon - Sat hourly, Sunday two hourly"
31/08/18,Scottish Borders Council,PETER HOGG OF JEDBURGH LTD,No,Standard National,0,Sundays only
08/07/20,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,Yes,Standard International,31,"TEMPORARY VARIATION - COVID 19 - revised timetable
TEMPORARY VARIATION - COVID 19- revised timetable (Mon - Sat daytime frequency increased to 30 mins)
TEMPORARY VARIATION - COVID 19- revised timetable -increased frequency Mon-Sat daytime"
29/02/12,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,1,Mon - Sun Hourly.
05/05/06,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,7,"No service: 25 Dec.Curtailed service to operate 26 Dec & 1/2 Jan, between 24 Dec & 3 Jan and all public/local holidays. Effective on similar dates in subsequent years."
12/07/13,East Lothian Council,LOTHIAN BUSES LIMITED,No,Standard International,31,No service 25 & 26 Dec& 1 Jan Sun service on 2 Jan & Sat service on all other local & Bank Holidays
12/03/10,Stirling Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,20,Revised route and timetable during closure of Bonnygate
01/10/21,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,No,Standard National,12,"Daily
TEMPORARY VARIATION - COVID 19
TEMPORARY VARIATION - COVID 19 reduced service Mon-Sat
SERVICE REVERTING BACK TO PRE-COVID LEVEL"
25/06/20,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,11,Full service resumed
28/10/10,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,2,Infrequent timetable Mon - Sun
02/04/20,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,5,Temporary service variation due to emergency situation
25/11/10,East Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,22,Curtailed service 25/26 December & 1/2 January.
29/10/02,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,4,
30/10/15,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,0,"Operates 25th Dec & 26th Dec 2015 and 1st Jan 2016 only
"
03/08/20,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,Yes,Standard National,7,Service resumed
04/07/11,Highland Council,BLUEBIRD BUSES LIMITED,No,Standard International,0,"8 return journeys Monday to Saturday,"
30/07/20,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,7,"Service varied due to Covid 19

(Service prior was: Mon - Sun hourly service

Timetable variation Covid 19)"
09/11/21,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,32,Revised timetable
16/06/14,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,6,"1 return journey Friday, 2 return journeys Saturday."
24/11/06,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,5,Limited service between 25  Dec and 4 Jan & and all public/local holidays according to schedules submitted and on similar dates in subsequent years.
13/07/16,Stirling Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,0,Dollar Academy School Days only.
01/08/06,Angus Council,TAYSIDE PUBLIC TRANSPORT CO LTD,Yes,Standard National,0,Schooldays only
25/03/13,Argyll & Bute Council,SCOTTISH CITYLINK COACHES LTD,No,Standard National,14,
19/10/04,Strathclyde Partnership for Transport,DUNNS COACHES LTD,No,Standard National,1,"Monday to Saturday service.
This service will not operate 25,26 Dec and 1,2 Jan and on similar dates in subsequent years"
11/06/07,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,Yes,Standard National,11,"Revised timetable, daily service. No service 25 Dec & 1 Jan Sunday t/t 26 Dec & 2 Jan
Saturday t/t days between. Curtailed service 31 Dec ASDSY
Sunday t/t Mondays at Easter, first & last in May, Glasgow Fair & Autumn holiday."
03/09/12,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,23,Service re-numbered. Monday to Saturday every 15 min Sunday every half hour. Christmas schedule attached.
17/03/05,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,No,Standard International,5,
23/08/21,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,6,Mon - Sun hourly
14/11/07,Aberdeen City Council,FIRST ABERDEEN LTD,Yes,Standard National,11,
08/09/20,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,Yes,Standard International,39,TEMPORARY VARIATION - COVID 19 - revised timetable
14/01/22,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,Yes,Standard National,19,"Good Friday - Saturday T/T.
Sunday T/T - Easter Monday, Mayday, Queen's Birthday, Glasgow Fair, Autumn.
No service - Christmas Day & New Years Day.
Sunday T/T - Boxing Day and 2 January."
